posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.29,16.56,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.41,18.25,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.42,18.44,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO MERCANTIL DO BRASIL S.A.,1.44,18.78,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO DO ESTADO DO RS S.A.,1.47,19.07,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
6,BCO SAFRA S.A.,1.51,19.65,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,1.54,20.07,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO BANESTES S.A.,1.56,20.42,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.57,20.52,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
10,SANTINVEST S.A. - CFI,1.66,21.86,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
11,KIRTON BANK,1.72,22.71,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO DO BRASIL S.A.,1.72,22.74,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
13,BCO BARIGUI INV FIN S/A,1.73,22.89,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO ARBI S.A.,1.77,23.36,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
15,PARANA BCO S.A.,1.77,23.42,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
16,BCO DO EST. DO PA S.A.,1.79,23.73,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
17,BCO FIBRA S.A.,1.8,23.87,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
18,BRB - BCO DE BRASILIA S.A.,1.81,23.96,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO DAYCOVAL S.A,1.82,24.16,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
20,ITAÚ UNIBANCO BM S.A.,1.82,24.17,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO BRADESCO S.A.,1.83,24.31,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO CETELEM S.A.,1.84,24.48,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
23,BCO BRADESCO FINANC. S.A.,1.9,25.31,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
24,BANCO INTER,1.91,25.51,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
25,BIORC FINANCEIRA - CFI S.A.,1.92,25.58,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
26,BCO VOTORANTIM S.A.,1.92,25.68,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
27,BANCOOB,1.95,26.06,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
28,BCO CCB BRASIL S.A.,1.95,26.08,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO LUSO BRASILEIRO S.A.,1.96,26.28,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
30,BANCO CIFRA,2.11,28.49,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
31,BCO BMG S.A.,2.13,28.74,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.17,29.4,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
33,BV FINANCEIRA S.A. CFI,2.18,29.47,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
34,BCO BS2 S.A.,2.19,29.68,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
35,BCO DO EST. DE SE S.A.,2.21,29.99,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
36,BANCO ITAÚ CONSIGNADO S.A.,2.26,30.75,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
37,SENFF S.A. - CFI,2.3,31.36,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
38,ESTRELA MINEIRA,2.65,36.79,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
39,SOCINAL S.A. CFI,3.54,51.83,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
40,PORTOCRED S.A. - CFI,7.12,128.38,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
41,FACTA S.A. CFI,7.34,134.03,220,2013-03-11,11/03/2013 a 15/03/2013,Crédito pessoal consignado público,Pré-fixado
