posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO ALFA S.A.,1.51,19.63,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
2,CAIXA ECONOMICA FEDERAL,1.54,20.1,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.58,20.64,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
4,BRB - CFI S/A,1.63,21.46,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
5,BCO ARBI S.A.,1.66,21.88,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
6,BCO BANESTES S.A.,1.68,22.06,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
7,KIRTON BANK,1.68,22.18,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
8,BCO BRADESCO S.A.,1.7,22.36,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.7,22.46,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
10,BCO DO BRASIL S.A.,1.73,22.84,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
11,SANTINVEST S.A. - CFI,1.74,22.94,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
12,BCO SAFRA S.A.,1.74,23.07,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
13,BCO DO EST. DE SE S.A.,1.75,23.09,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
14,MERCANTIL BRASIL FIN S.A. CFI,1.76,23.28,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
15,BANCOOB,1.82,24.19,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
16,BCO BARIGUI INV FIN S/A,1.83,24.37,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
17,PARANA BCO S.A.,1.85,24.6,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
18,BCO MERCANTIL DO BRASIL S.A.,1.86,24.7,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
19,BRB - BCO DE BRASILIA S.A.,1.96,26.23,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
20,BCO DO EST. DO PA S.A.,1.97,26.39,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
21,BANCO PAN,1.99,26.64,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
22,BCO AGIBANK S.A.,2.02,27.07,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
23,BCO VOTORANTIM S.A.,2.02,27.17,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
24,BANCO INTER,2.03,27.24,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
25,BCO CCB BRASIL S.A.,2.04,27.37,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
26,BCO BRADESCO FINANC. S.A.,2.05,27.6,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
27,ITAÚ UNIBANCO BM S.A.,2.06,27.65,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
28,BCO DAYCOVAL S.A,2.06,27.72,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
29,BCO DO ESTADO DO RS S.A.,2.06,27.73,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
30,BV FINANCEIRA S.A. CFI,2.08,27.96,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
31,BANCO ITAÚ CONSIGNADO S.A.,2.15,29.13,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
32,BCO BMG S.A.,2.18,29.51,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
33,BCO INDUSTRIAL DO BRASIL S.A.,2.23,30.27,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
34,BCO CETELEM S.A.,2.29,31.18,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
35,BCO BS2 S.A.,2.36,32.33,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
36,BCO LUSO BRASILEIRO S.A.,2.38,32.58,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
37,BIORC FINANCEIRA - CFI S.A.,2.63,36.54,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
38,ESTRELA MINEIRA,2.65,36.93,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
39,SENFF S.A. - CFI,2.66,37.08,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
40,CCB BRASIL S.A. - CFI,2.67,37.12,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
41,SOCINAL S.A. CFI,3.52,51.48,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
42,FACTA S.A. CFI,5.5,90.11,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
43,PORTOCRED S.A. - CFI,6.01,101.42,220,2014-08-21,21/08/2014 a 27/08/2014,Crédito pessoal consignado público,Pré-fixado
