posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.23,15.78,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
2,BRB - CFI S/A,1.41,18.3,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.47,19.17,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
4,FINANC ALFA S.A. CFI,1.51,19.72,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.51,19.76,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.53,19.92,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
7,MERCANTIL BRASIL FIN S.A. CFI,1.62,21.25,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO SAFRA S.A.,1.62,21.28,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.63,21.36,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO DO BRASIL S.A.,1.65,21.76,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO MERCANTIL DO BRASIL S.A.,1.66,21.82,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO BRADESCO S.A.,1.68,22.13,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
13,BRB - BCO DE BRASILIA S.A.,1.69,22.25,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO BRADESCO FINANC. S.A.,1.72,22.72,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
15,BANCOOB,1.72,22.75,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
16,BANCO INTER,1.74,22.94,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
17,BCO ARBI S.A.,1.76,23.26,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
18,PARANA BCO S.A.,1.77,23.39,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO BARIGUI INV FIN S/A,1.77,23.42,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
20,SANTINVEST S.A. - CFI,1.78,23.51,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO VOTORANTIM S.A.,1.8,23.94,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO CETELEM S.A.,1.81,24.02,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
23,ITAÚ UNIBANCO BM S.A.,1.81,24.08,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
24,KIRTON BANK,1.82,24.2,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
25,BV FINANCEIRA S.A. CFI,2.03,27.23,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
26,BCO DAYCOVAL S.A,2.03,27.3,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
27,BCO BS2 S.A.,2.04,27.41,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
28,BCO DO EST. DE SE S.A.,2.06,27.68,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
29,BIORC FINANCEIRA - CFI S.A.,2.06,27.71,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
30,BCO BMG S.A.,2.07,27.89,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
31,BANCO ITAÚ CONSIGNADO S.A.,2.17,29.37,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO LUSO BRASILEIRO S.A.,2.18,29.6,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
33,BCO INDUSTRIAL DO BRASIL S.A.,2.24,30.5,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
34,BCV,2.31,31.58,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
35,BANCO CIFRA,2.56,35.42,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
36,ESTRELA MINEIRA,2.97,42.09,220,2013-09-02,02/09/2013 a 06/09/2013,Crédito pessoal consignado público,Pré-fixado
