posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.25,16.11,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
2,BRB - CFI S/A,1.38,17.93,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.48,19.3,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO BANESTES S.A.,1.5,19.57,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
5,CAIXA ECONOMICA FEDERAL,1.52,19.84,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
6,FINANC ALFA S.A. CFI,1.53,19.98,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
7,MERCANTIL BRASIL FIN S.A. CFI,1.64,21.53,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO DO BRASIL S.A.,1.64,21.59,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.65,21.63,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO MERCANTIL DO BRASIL S.A.,1.66,21.88,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO SAFRA S.A.,1.67,21.96,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO BRADESCO S.A.,1.67,21.97,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
13,BRB - BCO DE BRASILIA S.A.,1.69,22.32,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO BRADESCO FINANC. S.A.,1.75,23.08,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
15,SANTINVEST S.A. - CFI,1.75,23.12,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
16,BANCO INTER,1.75,23.18,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
17,PARANA BCO S.A.,1.76,23.34,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
18,BCO BARIGUI INV FIN S/A,1.77,23.37,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO CETELEM S.A.,1.78,23.51,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
20,BANCOOB,1.78,23.56,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
21,ITAÚ UNIBANCO BM S.A.,1.81,23.96,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO ARBI S.A.,1.81,24.02,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
23,BCO VOTORANTIM S.A.,1.85,24.57,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
24,KIRTON BANK,1.86,24.8,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
25,BIORC FINANCEIRA - CFI S.A.,1.96,26.25,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
26,BCO DAYCOVAL S.A,2.0,26.81,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
27,BCO DO EST. DE SE S.A.,2.03,27.24,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
28,BCO BS2 S.A.,2.04,27.39,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
29,BV FINANCEIRA S.A. CFI,2.07,27.83,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
30,BCO BMG S.A.,2.09,28.11,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
31,BANCO ITAÚ CONSIGNADO S.A.,2.13,28.85,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.21,29.94,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
33,BCO LUSO BRASILEIRO S.A.,2.3,31.44,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
34,BCV,2.31,31.58,220,2013-09-05,05/09/2013 a 11/09/2013,Crédito pessoal consignado público,Pré-fixado
