posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.26,16.25,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
2,BRB - CFI S/A,1.38,17.9,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.48,19.27,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO BANESTES S.A.,1.5,19.58,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
5,CAIXA ECONOMICA FEDERAL,1.52,19.79,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
6,FINANC ALFA S.A. CFI,1.52,19.91,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
7,BCO SANTANDER (BRASIL) S.A.,1.64,21.53,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO DO BRASIL S.A.,1.64,21.58,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
9,MERCANTIL BRASIL FIN S.A. CFI,1.64,21.61,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO BRADESCO S.A.,1.67,22.02,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO MERCANTIL DO BRASIL S.A.,1.68,22.08,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO SAFRA S.A.,1.69,22.22,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
13,BRB - BCO DE BRASILIA S.A.,1.69,22.29,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
14,SANTINVEST S.A. - CFI,1.73,22.87,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
15,BANCO INTER,1.75,23.07,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
16,BCO BRADESCO FINANC. S.A.,1.76,23.31,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
17,BCO BARIGUI INV FIN S/A,1.77,23.36,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
18,PARANA BCO S.A.,1.77,23.49,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO ARBI S.A.,1.78,23.53,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
20,BCO CETELEM S.A.,1.78,23.62,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
21,BANCOOB,1.79,23.75,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
22,ITAÚ UNIBANCO BM S.A.,1.8,23.88,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
23,KIRTON BANK,1.85,24.56,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
24,BCO VOTORANTIM S.A.,1.89,25.19,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
25,BIORC FINANCEIRA - CFI S.A.,1.94,25.9,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
26,BCO DAYCOVAL S.A,1.99,26.71,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
27,BCO DO EST. DE SE S.A.,2.04,27.49,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
28,BCO BS2 S.A.,2.05,27.57,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO BMG S.A.,2.09,28.18,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
30,BANCO ITAÚ CONSIGNADO S.A.,2.12,28.65,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
31,BV FINANCEIRA S.A. CFI,2.14,28.88,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.24,30.49,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
33,BCV,2.31,31.58,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
34,BCO LUSO BRASILEIRO S.A.,2.34,31.95,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
35,BANCO CIFRA,2.53,34.89,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
36,ESTRELA MINEIRA,2.98,42.3,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
37,SOCINAL S.A. CFI,3.53,51.65,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
38,BCO AGIBANK S.A.,3.76,55.74,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
39,PORTOCRED S.A. - CFI,6.11,103.69,220,2013-09-06,06/09/2013 a 12/09/2013,Crédito pessoal consignado público,Pré-fixado
