posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.43,18.53,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.5,19.62,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.53,20.03,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
4,BRB - CFI S/A,1.59,20.9,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.66,21.86,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
6,LECCA CFI S.A.,1.76,23.34,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
7,BCO DO EST. DO PA S.A.,1.78,23.64,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
8,BCO SANTANDER (BRASIL) S.A.,1.8,23.84,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
9,CAIXA ECONOMICA FEDERAL,1.8,23.94,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
10,BCO SAFRA S.A.,1.81,24.03,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
11,BCO BARIGUI INV FIN S/A,1.82,24.18,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
12,BRB - BCO DE BRASILIA S.A.,1.88,25.02,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
13,BCO MERCANTIL DO BRASIL S.A.,1.91,25.46,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
14,ITAÚ UNIBANCO BM S.A.,1.94,25.91,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
15,KIRTON BANK,1.95,26.05,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
16,BCO CETELEM S.A.,1.98,26.49,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
17,SANTINVEST S.A. - CFI,1.98,26.52,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
18,BCO DO BRASIL S.A.,2.0,26.86,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
19,BANCO SEMEAR,2.04,27.41,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
20,PARANA BCO S.A.,2.07,27.86,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
21,BANCOOB,2.07,27.9,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
22,BCO CRUZEIRO DO SUL S.A.,2.09,28.17,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
23,BANCO ORIGINAL,2.1,28.28,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
24,BCO FIBRA S.A.,2.11,28.48,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
25,BCO LUSO BRASILEIRO S.A.,2.16,29.28,220,2012-03-19,19/03/2012 a 23/03/2012,Crédito pessoal consignado público,Pré-fixado
