posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BANCOOB,1.66,21.86,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.71,22.58,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.77,23.42,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
4,BRB - CFI S/A,1.8,23.8,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
5,BCO SANTANDER (BRASIL) S.A.,1.84,24.46,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.85,24.61,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
7,BCO BANESTES S.A.,1.88,24.99,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
8,BCO BRADESCO S.A.,1.89,25.12,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
9,BCO SAFRA S.A.,1.95,26.11,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
10,BCO ARBI S.A.,1.97,26.42,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
11,PARANA BCO S.A.,2.0,26.76,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
12,BCO BARIGUI INV FIN S/A,2.0,26.81,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
13,KIRTON BANK,2.02,27.06,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
14,BRB - BCO DE BRASILIA S.A.,2.02,27.11,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
15,BCO DO BRASIL S.A.,2.02,27.19,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
16,BCO DO ESTADO DO RS S.A.,2.12,28.69,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
17,BCO VOTORANTIM S.A.,2.14,28.94,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
18,BANCO ITAÚ CONSIGNADO S.A.,2.14,28.98,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
19,BCO DO EST. DE SE S.A.,2.19,29.68,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
20,BCO CCB BRASIL S.A.,2.21,29.94,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
21,BANCO PAN,2.22,30.14,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
22,BCO DO EST. DO PA S.A.,2.22,30.16,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
23,SANTINVEST S.A. - CFI,2.23,30.25,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
24,BCO BRADESCO FINANC. S.A.,2.24,30.49,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
25,BCO BS2 S.A.,2.26,30.69,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
26,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,2.27,30.93,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
27,BCO DAYCOVAL S.A,2.33,31.84,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
28,BCO CETELEM S.A.,2.36,32.23,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
29,PARATI - CFI S.A.,2.54,35.11,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
30,BCO INDUSTRIAL DO BRASIL S.A.,2.61,36.27,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
31,ITAÚ UNIBANCO BM S.A.,2.65,36.85,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
32,CCB BRASIL S.A. - CFI,2.72,37.91,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
33,PORTOCRED S.A. - CFI,5.72,94.91,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
34,FACTA S.A. CFI,6.32,108.55,220,2016-09-26,26/09/2016 a 30/09/2016,Crédito pessoal consignado público,Pré-fixado
