posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.42,18.4,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.52,19.87,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.6,20.95,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
4,BRB - CFI S/A,1.62,21.27,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.66,21.91,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
6,BCO DO EST. DO PA S.A.,1.79,23.79,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
7,BCO SAFRA S.A.,1.79,23.79,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
8,BCO BARIGUI INV FIN S/A,1.81,23.99,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.81,24.06,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
10,CAIXA ECONOMICA FEDERAL,1.83,24.3,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
11,BRB - BCO DE BRASILIA S.A.,1.89,25.26,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
12,BCO MERCANTIL DO BRASIL S.A.,1.91,25.52,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
13,LECCA CFI S.A.,1.94,25.89,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
14,ITAÚ UNIBANCO BM S.A.,1.94,25.99,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
15,BCO CRUZEIRO DO SUL S.A.,1.95,26.02,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
16,BANCOOB,1.97,26.32,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
17,BCO CETELEM S.A.,1.97,26.34,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
18,SANTINVEST S.A. - CFI,1.98,26.55,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
19,BIORC FINANCEIRA - CFI S.A.,2.02,27.12,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
20,BCO DO BRASIL S.A.,2.02,27.14,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
21,PARANA BCO S.A.,2.03,27.34,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
22,KIRTON BANK,2.04,27.44,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
23,BCO FIBRA S.A.,2.12,28.67,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
24,BANCO ORIGINAL,2.12,28.69,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
25,BCO VOTORANTIM S.A.,2.15,29.15,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
26,BCO CCB BRASIL S.A.,2.17,29.43,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
27,BCO LUSO BRASILEIRO S.A.,2.17,29.44,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
28,BCO INDUSTRIAL DO BRASIL S.A.,2.24,30.39,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
29,BV FINANCEIRA S.A. CFI,2.25,30.65,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
30,BCO BRADESCO FINANC. S.A.,2.26,30.74,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
31,BCO BRADESCO S.A.,2.27,30.89,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
32,BCO DAYCOVAL S.A,2.27,30.96,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
33,BCO ARBI S.A.,2.31,31.47,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
34,BANCO INTER,2.32,31.64,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
35,BCO BMG S.A.,2.36,32.34,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
36,BCO BS2 S.A.,2.39,32.73,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
37,BCO FICSA S.A.,2.5,34.42,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
38,PARATI - CFI S.A.,2.55,35.22,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
39,BCO DO EST. DE SE S.A.,2.65,36.85,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
40,BCV,2.72,37.95,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
41,BANIF BRASIL BM S.A.,3.45,50.26,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
42,SOCINAL S.A. CFI,3.69,54.55,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
43,BANCO SEMEAR,3.83,56.94,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
44,PORTOCRED S.A. - CFI,6.93,123.55,220,2012-03-08,08/03/2012 a 14/03/2012,Crédito pessoal consignado público,Pré-fixado
