posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.25,16.08,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.43,18.55,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
3,BRB - CFI S/A,1.44,18.7,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
4,FINANC ALFA S.A. CFI,1.48,19.23,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.51,19.69,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
6,MERCANTIL BRASIL FIN S.A. CFI,1.51,19.74,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,1.52,19.86,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO SAFRA S.A.,1.56,20.48,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO MERCANTIL DO BRASIL S.A.,1.62,21.28,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO BRADESCO S.A.,1.66,21.89,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO DO BRASIL S.A.,1.69,22.22,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
12,BRB - BCO DE BRASILIA S.A.,1.69,22.24,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
13,BCO ARBI S.A.,1.72,22.67,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO BRADESCO FINANC. S.A.,1.72,22.72,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
15,BANCOOB,1.73,22.87,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
16,BANCO INTER,1.74,22.98,220,2013-07-30,30/07/2013 a 05/08/2013,Crédito pessoal consignado público,Pré-fixado
