posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO ALFA S.A.,1.46,19.0,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.51,19.65,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
3,CAIXA ECONOMICA FEDERAL,1.51,19.76,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO BANESTES S.A.,1.55,20.21,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO SANTANDER (BRASIL) S.A.,1.6,21.02,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
6,BCO DO BRASIL S.A.,1.62,21.26,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
7,BCO DO ESTADO DO RS S.A.,1.67,22.0,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO ARBI S.A.,1.67,22.05,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
9,BANCOOB,1.69,22.28,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
10,SANTINVEST S.A. - CFI,1.69,22.33,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO BRADESCO S.A.,1.7,22.37,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
12,BRB - CFI S/A,1.71,22.6,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
13,KIRTON BANK,1.71,22.6,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO BARIGUI INV FIN S/A,1.76,23.31,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
15,PARANA BCO S.A.,1.77,23.39,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
16,BCO SAFRA S.A.,1.78,23.62,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
17,BANCO PAN,1.8,23.9,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
18,MERCANTIL BRASIL FIN S.A. CFI,1.81,24.05,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO MERCANTIL DO BRASIL S.A.,1.82,24.12,220,2013-12-06,06/12/2013 a 12/12/2013,Crédito pessoal consignado público,Pré-fixado
