posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.39,18.03,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.41,18.3,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.41,18.3,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO DO ESTADO DO RS S.A.,1.44,18.77,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
5,CAIXA ECONOMICA FEDERAL,1.51,19.74,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
6,BCO SAFRA S.A.,1.55,20.25,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
7,BCO BANESTES S.A.,1.55,20.26,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO SANTANDER (BRASIL) S.A.,1.63,21.38,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
9,SANTINVEST S.A. - CFI,1.65,21.7,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO BRADESCO S.A.,1.67,21.94,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO DO BRASIL S.A.,1.7,22.38,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
12,KIRTON BANK,1.7,22.48,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
13,BIORC FINANCEIRA - CFI S.A.,1.73,22.9,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO BARIGUI INV FIN S/A,1.74,22.99,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
15,PARANA BCO S.A.,1.75,23.21,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
16,BRB - BCO DE BRASILIA S.A.,1.76,23.29,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
17,BANCO INTER,1.78,23.61,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
18,BCO DO EST. DO PA S.A.,1.8,23.83,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO BRADESCO FINANC. S.A.,1.8,23.9,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
20,BCO FIBRA S.A.,1.83,24.24,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO ARBI S.A.,1.83,24.31,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
22,BANCOOB,1.84,24.42,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
23,BCO CETELEM S.A.,1.85,24.67,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
24,BCO MERCANTIL DO BRASIL S.A.,1.88,24.99,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
25,BCO DAYCOVAL S.A,1.91,25.51,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
26,BCO VOTORANTIM S.A.,1.93,25.79,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
27,BCO LUSO BRASILEIRO S.A.,1.94,25.86,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
28,ITAÚ UNIBANCO BM S.A.,1.96,26.17,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO CCB BRASIL S.A.,2.01,26.93,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
30,BCO BMG S.A.,2.07,27.89,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
31,BV FINANCEIRA S.A. CFI,2.12,28.66,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.22,30.07,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
33,BCO BS2 S.A.,2.29,31.23,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
34,BANCO ITAÚ CONSIGNADO S.A.,2.3,31.39,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
35,CCB BRASIL S.A. - CFI,2.39,32.77,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
36,ESTRELA MINEIRA,2.65,36.79,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
37,PORTOCRED S.A. - CFI,6.14,104.43,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
38,FACTA S.A. CFI,7.39,135.35,220,2013-05-03,03/05/2013 a 09/05/2013,Crédito pessoal consignado público,Pré-fixado
