posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.42,18.42,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.5,19.58,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.54,20.07,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
4,BRB - CFI S/A,1.59,20.87,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.66,21.81,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
6,LECCA CFI S.A.,1.76,23.34,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
7,BCO SAFRA S.A.,1.79,23.77,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
8,BCO DO EST. DO PA S.A.,1.79,23.78,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.8,23.88,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
10,CAIXA ECONOMICA FEDERAL,1.8,23.92,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
11,BCO BARIGUI INV FIN S/A,1.81,24.05,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
12,BRB - BCO DE BRASILIA S.A.,1.88,25.0,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
13,BCO MERCANTIL DO BRASIL S.A.,1.92,25.6,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
14,ITAÚ UNIBANCO BM S.A.,1.93,25.77,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
15,KIRTON BANK,1.97,26.45,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
16,BANCOOB,1.99,26.62,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
17,BCO CETELEM S.A.,1.99,26.71,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
18,BCO DO BRASIL S.A.,2.0,26.78,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
19,SANTINVEST S.A. - CFI,2.01,26.91,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
20,BANCO SEMEAR,2.05,27.6,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
21,BCO CRUZEIRO DO SUL S.A.,2.06,27.72,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
22,PARANA BCO S.A.,2.06,27.78,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
23,BANCO ORIGINAL,2.09,28.1,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
24,BCO FIBRA S.A.,2.11,28.41,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
25,BCO LUSO BRASILEIRO S.A.,2.14,28.94,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
26,BCO BRADESCO S.A.,2.22,30.09,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
27,BCO BRADESCO FINANC. S.A.,2.23,30.37,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
28,BCO INDUSTRIAL DO BRASIL S.A.,2.24,30.42,220,2012-03-20,20/03/2012 a 26/03/2012,Crédito pessoal consignado público,Pré-fixado
