posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.28,16.52,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
2,BRB - CFI S/A,1.36,17.58,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO SAFRA S.A.,1.43,18.6,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO ALFA S.A.,1.47,19.07,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.52,19.83,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.52,19.91,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
7,MERCANTIL BRASIL FIN S.A. CFI,1.55,20.3,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
8,FINANC ALFA S.A. CFI,1.56,20.45,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
9,SANTINVEST S.A. - CFI,1.58,20.65,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO MERCANTIL DO BRASIL S.A.,1.61,21.08,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO BRADESCO S.A.,1.67,22.05,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO SANTANDER (BRASIL) S.A.,1.69,22.21,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
13,BRB - BCO DE BRASILIA S.A.,1.71,22.51,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO DO BRASIL S.A.,1.72,22.63,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO CETELEM S.A.,1.74,22.98,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
16,PARANA BCO S.A.,1.74,22.98,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
17,BCO BARIGUI INV FIN S/A,1.74,23.0,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
18,BANCO INTER,1.77,23.46,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO BRADESCO FINANC. S.A.,1.78,23.64,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
20,BCO DO EST. DO PA S.A.,1.8,23.81,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO FIBRA S.A.,1.81,24.01,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
22,KIRTON BANK,1.83,24.28,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
23,BCO VOTORANTIM S.A.,1.84,24.43,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
24,BCO ARBI S.A.,1.85,24.59,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
25,BANCO CIFRA,1.85,24.65,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
26,ITAÚ UNIBANCO BM S.A.,1.91,25.46,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
27,BANCOOB,1.98,26.6,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
28,BIORC FINANCEIRA - CFI S.A.,2.0,26.83,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO DAYCOVAL S.A,2.07,27.94,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
30,BV FINANCEIRA S.A. CFI,2.09,28.11,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
31,BANCO ITAÚ CONSIGNADO S.A.,2.15,29.13,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO CCB BRASIL S.A.,2.16,29.21,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
33,BCO BS2 S.A.,2.2,29.81,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
34,BCO INDUSTRIAL DO BRASIL S.A.,2.45,33.77,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
35,ESTRELA MINEIRA,2.64,36.78,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
36,SOCINAL S.A. CFI,2.8,39.23,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
37,PORTOCRED S.A. - CFI,6.15,104.76,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
38,FACTA S.A. CFI,6.23,106.52,220,2013-07-05,05/07/2013 a 11/07/2013,Crédito pessoal consignado público,Pré-fixado
