posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.29,16.68,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
2,BRB - CFI S/A,1.4,18.12,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.45,18.83,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
4,FINANC ALFA S.A. CFI,1.48,19.28,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.51,19.71,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.52,19.84,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
7,MERCANTIL BRASIL FIN S.A. CFI,1.55,20.29,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO MERCANTIL DO BRASIL S.A.,1.57,20.57,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO SAFRA S.A.,1.57,20.59,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO BRADESCO S.A.,1.67,22.01,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
11,BRB - BCO DE BRASILIA S.A.,1.68,22.16,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO DO BRASIL S.A.,1.69,22.26,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
13,BCO ARBI S.A.,1.7,22.36,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO SANTANDER (BRASIL) S.A.,1.74,23.01,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO BARIGUI INV FIN S/A,1.75,23.11,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
16,SANTINVEST S.A. - CFI,1.75,23.19,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
17,PARANA BCO S.A.,1.77,23.41,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
18,BCO CETELEM S.A.,1.77,23.44,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO BRADESCO FINANC. S.A.,1.78,23.51,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
20,KIRTON BANK,1.78,23.55,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
21,BANCOOB,1.79,23.75,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
22,BANCO INTER,1.79,23.75,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
23,BCO FIBRA S.A.,1.82,24.09,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
24,ITAÚ UNIBANCO BM S.A.,1.87,24.86,220,2013-08-12,12/08/2013 a 16/08/2013,Crédito pessoal consignado público,Pré-fixado
