posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO ALFA S.A.,1.63,21.45,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.67,21.98,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
3,BANCOOB,1.73,22.84,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
4,BCO BANESTES S.A.,1.76,23.23,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
5,CAIXA ECONOMICA FEDERAL,1.78,23.59,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
6,MERCANTIL BRASIL FIN S.A. CFI,1.78,23.64,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
7,BRB - CFI S/A,1.8,23.81,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
8,BCO BRADESCO S.A.,1.81,23.94,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
9,BCO MERCANTIL DO BRASIL S.A.,1.81,23.95,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
10,BCO SAFRA S.A.,1.83,24.35,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
11,BCO ARBI S.A.,1.84,24.4,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
12,BCO BARIGUI INV FIN S/A,1.84,24.43,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
13,PARANA BCO S.A.,1.87,24.93,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
14,KIRTON BANK,1.88,24.97,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
15,BCO SANTANDER (BRASIL) S.A.,1.89,25.24,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
16,SANTINVEST S.A. - CFI,1.96,26.24,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
17,BCO DO BRASIL S.A.,1.97,26.42,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
18,BCO VOTORANTIM S.A.,1.98,26.56,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
19,BRB - BCO DE BRASILIA S.A.,1.98,26.57,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
20,BCO BMG S.A.,2.02,27.05,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
21,BANCO INTER,2.02,27.16,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
22,BCO CCB BRASIL S.A.,2.07,27.8,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
23,BANCO ITAÚ CONSIGNADO S.A.,2.07,27.89,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
24,BCO CETELEM S.A.,2.07,27.92,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
25,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,2.08,27.98,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
26,BANCO PAN,2.08,27.99,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
27,BCO BRADESCO FINANC. S.A.,2.08,28.0,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
28,BCO DO ESTADO DO RS S.A.,2.13,28.72,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
29,BCO BS2 S.A.,2.15,29.01,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
30,BCO DO EST. DO PA S.A.,2.23,30.32,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
31,BCO DO EST. DE SE S.A.,2.27,30.86,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
32,BV FINANCEIRA S.A. CFI,2.27,30.95,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
33,ITAÚ UNIBANCO BM S.A.,2.31,31.54,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
34,PARATI - CFI S.A.,2.35,32.11,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
35,BCO DAYCOVAL S.A,2.4,32.85,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
36,BCO INDUSTRIAL DO BRASIL S.A.,2.44,33.61,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
37,CCB BRASIL S.A. - CFI,2.66,36.99,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
38,SOCINAL S.A. CFI,3.53,51.71,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
39,PORTOCRED S.A. - CFI,5.09,81.46,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
40,FACTA S.A. CFI,6.46,111.88,220,2015-08-14,14/08/2015 a 20/08/2015,Crédito pessoal consignado público,Pré-fixado
