posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.33,17.12,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
2,BRB - CFI S/A,1.37,17.68,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.46,19.04,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
4,BCO ALFA S.A.,1.48,19.24,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.54,20.18,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.55,20.22,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
7,BCO SAFRA S.A.,1.65,21.66,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
8,SANTINVEST S.A. - CFI,1.68,22.17,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.72,22.7,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
10,BCO DO BRASIL S.A.,1.73,22.86,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
11,BRB - BCO DE BRASILIA S.A.,1.74,22.96,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
12,BCO BARIGUI INV FIN S/A,1.77,23.44,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
13,BCO DO EST. DO PA S.A.,1.79,23.71,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
14,BCO FIBRA S.A.,1.79,23.73,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
15,BCO MERCANTIL DO BRASIL S.A.,1.8,23.82,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
16,BANCOOB,1.82,24.13,220,2012-09-11,11/09/2012 a 17/09/2012,Crédito pessoal consignado público,Pré-fixado
