posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.39,18.02,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
2,BCO DO ESTADO DO RS S.A.,1.41,18.26,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.47,19.17,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
4,CAIXA ECONOMICA FEDERAL,1.53,19.94,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
5,FINANC ALFA S.A. CFI,1.54,20.15,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
6,BCO BANESTES S.A.,1.54,20.18,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
7,BCO DO BRASIL S.A.,1.61,21.1,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
8,MERCANTIL BRASIL FIN S.A. CFI,1.63,21.39,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
9,BRB - BCO DE BRASILIA S.A.,1.65,21.76,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO SANTANDER (BRASIL) S.A.,1.66,21.83,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
11,BANCOOB,1.66,21.87,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO BRADESCO S.A.,1.67,21.93,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
13,BCO MERCANTIL DO BRASIL S.A.,1.69,22.28,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
14,SANTINVEST S.A. - CFI,1.73,22.78,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO SAFRA S.A.,1.74,22.93,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
16,BCO BARIGUI INV FIN S/A,1.76,23.23,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
17,ITAÚ UNIBANCO BM S.A.,1.78,23.53,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
18,BCO BRADESCO FINANC. S.A.,1.78,23.54,220,2013-09-24,24/09/2013 a 30/09/2013,Crédito pessoal consignado público,Pré-fixado
