posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.25,16.08,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.43,18.61,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
3,BRB - CFI S/A,1.45,18.83,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
4,FINANC ALFA S.A. CFI,1.48,19.3,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.51,19.74,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
6,MERCANTIL BRASIL FIN S.A. CFI,1.52,19.83,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,1.53,20.01,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO SAFRA S.A.,1.56,20.42,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO MERCANTIL DO BRASIL S.A.,1.59,20.87,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO BRADESCO S.A.,1.66,21.91,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
11,BANCOOB,1.67,21.97,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO DO BRASIL S.A.,1.68,22.15,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
13,BRB - BCO DE BRASILIA S.A.,1.69,22.29,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO ARBI S.A.,1.7,22.39,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO BARIGUI INV FIN S/A,1.73,22.89,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
16,PARANA BCO S.A.,1.74,23.0,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
17,BCO BRADESCO FINANC. S.A.,1.75,23.15,220,2013-07-31,31/07/2013 a 06/08/2013,Crédito pessoal consignado público,Pré-fixado
