posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.29,16.64,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.36,17.56,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.41,18.35,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO MERCANTIL DO BRASIL S.A.,1.42,18.49,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO SAFRA S.A.,1.48,19.28,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
6,BCO DO ESTADO DO RS S.A.,1.5,19.51,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,1.53,19.95,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO BANESTES S.A.,1.54,20.12,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.58,20.66,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
10,SANTINVEST S.A. - CFI,1.71,22.52,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
11,KIRTON BANK,1.71,22.57,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO DO BRASIL S.A.,1.71,22.59,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
13,BCO BARIGUI INV FIN S/A,1.72,22.69,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
14,BIORC FINANCEIRA - CFI S.A.,1.72,22.74,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO ARBI S.A.,1.73,22.83,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
16,PARANA BCO S.A.,1.76,23.29,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
17,ITAÚ UNIBANCO BM S.A.,1.79,23.71,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
18,BCO DO EST. DO PA S.A.,1.79,23.72,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
19,BRB - BCO DE BRASILIA S.A.,1.79,23.78,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
20,BCO BRADESCO S.A.,1.8,23.93,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO FIBRA S.A.,1.82,24.19,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO CETELEM S.A.,1.85,24.65,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
23,BCO BRADESCO FINANC. S.A.,1.89,25.24,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
24,BANCOOB,1.9,25.3,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
25,BCO DAYCOVAL S.A,1.91,25.51,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
26,BCO LUSO BRASILEIRO S.A.,1.97,26.34,220,2013-03-18,18/03/2013 a 22/03/2013,Crédito pessoal consignado público,Pré-fixado
