posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - BCO DE BRASILIA S.A.,1.88,24.97,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
2,BANCOOB,1.88,25.08,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
3,BCO DO EST. DE SE S.A.,1.97,26.32,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
4,BCO DO ESTADO DO RS S.A.,2.01,26.94,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
5,GAZINCRED S.A. SCFI,2.03,27.33,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
6,CCB BRASIL S.A. - CFI,2.07,27.93,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
7,BCO SAFRA S.A.,2.09,28.21,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
8,FINANC ALFA S.A. CFI,2.1,28.25,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
9,BCO DO EST. DO PA S.A.,2.1,28.32,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
10,BCO DAYCOVAL S.A,2.12,28.67,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
11,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,2.13,28.73,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
12,BCO BANESTES S.A.,2.13,28.74,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
13,BANCO INTER,2.13,28.84,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
14,BCO BMG S.A.,2.18,29.58,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
15,BANCO SEMEAR,2.2,29.78,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
16,CAIXA ECONOMICA FEDERAL,2.2,29.79,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
17,BANCO BRADESCARD,2.2,29.9,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
18,BCO SANTANDER (BRASIL) S.A.,2.22,30.16,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
19,PARANA BCO S.A.,2.23,30.22,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
20,BANCO CBSS,2.23,30.27,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
21,BCO MERCANTIL DO BRASIL S.A.,2.23,30.27,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
22,BANCO ITAÚ CONSIGNADO S.A.,2.23,30.33,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
23,CREDIARE CFI S.A.,2.24,30.41,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
24,PARATI - CFI S.A.,2.25,30.59,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
25,FACTA S.A. CFI,2.26,30.68,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
26,BCO BARIGUI INV FIN S/A,2.26,30.76,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
27,BANCO PAN,2.29,31.23,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
28,BCO BRADESCO S.A.,2.3,31.36,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
29,BCO BRADESCO FINANC. S.A.,2.3,31.37,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
30,BCO INDUSTRIAL DO BRASIL S.A.,2.3,31.39,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
31,BCO VOTORANTIM S.A.,2.32,31.64,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
32,BCO AGIBANK S.A.,2.33,31.76,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
33,BCO DO BRASIL S.A.,2.33,31.82,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
34,MERCANTIL BRASIL FIN S.A. CFI,2.33,31.88,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
35,ITAÚ UNIBANCO BM S.A.,2.34,31.96,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
36,BCO CETELEM S.A.,2.34,31.96,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
37,BCO DO NORDESTE DO BRASIL S.A.,2.36,32.37,218,2017-03-17,17/03/2017 a 23/03/2017,Crédito consignado INSS,Pré-fixado
