posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.26,16.23,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.44,18.67,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
3,BRB - CFI S/A,1.44,18.74,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
4,FINANC ALFA S.A. CFI,1.48,19.22,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.48,19.34,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
6,MERCANTIL BRASIL FIN S.A. CFI,1.52,19.78,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,1.52,19.87,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO SAFRA S.A.,1.56,20.38,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO BRADESCO S.A.,1.66,21.81,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO MERCANTIL DO BRASIL S.A.,1.68,22.16,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
11,BRB - BCO DE BRASILIA S.A.,1.69,22.24,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO DO BRASIL S.A.,1.69,22.34,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
13,BCO BRADESCO FINANC. S.A.,1.72,22.7,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO SANTANDER (BRASIL) S.A.,1.74,22.98,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
15,KIRTON BANK,1.75,23.14,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
16,BCO ARBI S.A.,1.77,23.37,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
17,PARANA BCO S.A.,1.77,23.41,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
18,BCO BARIGUI INV FIN S/A,1.77,23.42,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
19,BANCO INTER,1.77,23.46,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
20,BCO CETELEM S.A.,1.8,23.81,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
21,SANTINVEST S.A. - CFI,1.8,23.83,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO DO EST. DO PA S.A.,1.8,23.91,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
23,BANCOOB,1.81,24.02,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
24,BCO FIBRA S.A.,1.81,24.06,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
25,ITAÚ UNIBANCO BM S.A.,1.83,24.27,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
26,BANCO CIFRA,1.84,24.5,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
27,BIORC FINANCEIRA - CFI S.A.,1.88,25.09,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
28,BV FINANCEIRA S.A. CFI,1.98,26.51,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO VOTORANTIM S.A.,1.99,26.68,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
30,BCO DO EST. DE SE S.A.,2.07,27.88,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
31,BCO BS2 S.A.,2.08,28.05,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO DAYCOVAL S.A,2.08,28.06,220,2013-07-26,26/07/2013 a 01/08/2013,Crédito pessoal consignado público,Pré-fixado
