posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO NORDESTE DO BRASIL S.A.,0.06,0.75,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.44,18.71,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.53,19.95,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
4,BCO A.J. RENNER S.A.,1.57,20.61,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
5,BANCO INTER,1.59,20.84,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
6,BCO SANTANDER (BRASIL) S.A.,1.61,21.1,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
7,BCO BRADESCO S.A.,1.62,21.3,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
8,BCO DO ESTADO DO RS S.A.,1.64,21.62,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
9,BCO BRADESCO FINANC. S.A.,1.66,21.87,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
10,BCO SAFRA S.A.,1.67,22.02,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
11,BCO BARIGUI INV FIN S/A,1.69,22.26,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
12,BRB - CFI S/A,1.71,22.52,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
13,BCO DO BRASIL S.A.,1.71,22.58,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
14,BCO CCB BRASIL S.A.,1.73,22.86,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
15,CAIXA ECONOMICA FEDERAL,1.76,23.26,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
16,BANCO PAN,1.77,23.44,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
17,BCO BANESTES S.A.,1.78,23.55,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
18,BCO ARBI S.A.,1.83,24.3,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
19,BANCOOB,1.83,24.33,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
20,PARANA BCO S.A.,1.85,24.65,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
21,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,1.87,24.88,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
22,BCO CETELEM S.A.,1.87,24.95,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
23,BANCO ITAÚ CONSIGNADO S.A.,1.93,25.81,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
24,BRB - BCO DE BRASILIA S.A.,1.95,26.11,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
25,BCO VOTORANTIM S.A.,2.02,27.16,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
26,BCO MERCANTIL DO BRASIL S.A.,2.06,27.73,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
27,SANTINVEST S.A. - CFI,2.16,29.16,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
28,BCO DO EST. DE SE S.A.,2.27,30.94,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
29,SENFF S.A. - CFI,2.29,31.24,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
30,ITAÚ UNIBANCO BM S.A.,2.4,32.97,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
31,BCO INDUSTRIAL DO BRASIL S.A.,2.55,35.27,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
32,FACTA S.A. CFI,4.85,76.55,220,2018-08-06,06/08/2018 a 10/08/2018,Crédito pessoal consignado público,Pré-fixado
