posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO BMG S.A.,1.58,20.69,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.71,22.57,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
3,BANCOOB,1.73,22.88,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
4,FINANC ALFA S.A. CFI,1.78,23.51,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
5,BRB - CFI S/A,1.81,24.02,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
6,BCO SAFRA S.A.,1.83,24.36,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
7,BCO BANESTES S.A.,1.9,25.27,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
8,BCO ARBI S.A.,1.9,25.38,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
9,CAIXA ECONOMICA FEDERAL,1.92,25.62,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
10,BCO BRADESCO S.A.,1.93,25.71,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
11,BCO SANTANDER (BRASIL) S.A.,1.95,26.09,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
12,KIRTON BANK,1.97,26.39,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
13,PARANA BCO S.A.,1.98,26.51,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
14,BCO BARIGUI INV FIN S/A,1.99,26.65,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
15,BANCO ITAÚ CONSIGNADO S.A.,2.0,26.81,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
16,BCO VOTORANTIM S.A.,2.0,26.86,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
17,BCO DO BRASIL S.A.,2.04,27.36,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
18,BRB - BCO DE BRASILIA S.A.,2.04,27.49,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
19,BANCO PAN,2.1,28.36,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
20,BCO BS2 S.A.,2.13,28.83,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
21,BCO DO ESTADO DO RS S.A.,2.13,28.83,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
22,BCO CCB BRASIL S.A.,2.17,29.31,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
23,SENFF S.A. - CFI,2.17,29.32,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
24,BCO DO EST. DE SE S.A.,2.17,29.43,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
25,BCO BRADESCO FINANC. S.A.,2.21,29.97,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
26,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,2.21,30.0,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
27,SANTINVEST S.A. - CFI,2.21,30.06,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
28,BCO DO EST. DO PA S.A.,2.26,30.69,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
29,BANCO INTER,2.27,30.91,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
30,BCO MERCANTIL DO BRASIL S.A.,2.28,31.06,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
31,BCO CETELEM S.A.,2.32,31.72,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
32,BCO DAYCOVAL S.A,2.43,33.37,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
33,ITAÚ UNIBANCO BM S.A.,2.53,34.9,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
34,BCO INDUSTRIAL DO BRASIL S.A.,2.53,35.01,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
35,BCO LUSO BRASILEIRO S.A.,2.64,36.68,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
36,CCB BRASIL S.A. - CFI,2.65,36.88,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
37,PORTOCRED S.A. - CFI,5.59,92.06,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
38,FACTA S.A. CFI,6.92,123.27,220,2016-08-11,11/08/2016 a 17/08/2016,Crédito pessoal consignado público,Pré-fixado
