posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.31,16.94,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
2,BRB - CFI S/A,1.38,17.84,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.44,18.78,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
4,BCO ALFA S.A.,1.46,18.95,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.5,19.57,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.59,20.88,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
7,BCO SANTANDER (BRASIL) S.A.,1.69,22.32,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
8,BRB - BCO DE BRASILIA S.A.,1.72,22.77,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
9,BCO DO BRASIL S.A.,1.73,22.83,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
10,BCO SAFRA S.A.,1.76,23.36,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
11,LECCA CFI S.A.,1.78,23.51,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
12,BCO DO EST. DO PA S.A.,1.79,23.73,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
13,BCO BARIGUI INV FIN S/A,1.8,23.84,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
14,SANTINVEST S.A. - CFI,1.8,23.87,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
15,KIRTON BANK,1.82,24.16,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
16,ITAÚ UNIBANCO BM S.A.,1.85,24.66,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
17,PARANA BCO S.A.,1.89,25.21,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
18,BCO MERCANTIL DO BRASIL S.A.,1.91,25.45,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
19,BCO ARBI S.A.,1.93,25.71,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
20,BANCOOB,1.96,26.27,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
21,BCO BRADESCO S.A.,1.97,26.45,220,2012-07-20,20/07/2012 a 26/07/2012,Crédito pessoal consignado público,Pré-fixado
