posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.33,17.12,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.45,18.81,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.5,19.55,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
4,BCO BANESTES S.A.,1.52,19.85,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
5,BRB - CFI S/A,1.58,20.65,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.6,20.93,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
7,BCO SAFRA S.A.,1.7,22.36,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
8,BCO SANTANDER (BRASIL) S.A.,1.74,23.06,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
9,BRB - BCO DE BRASILIA S.A.,1.75,23.19,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
10,LECCA CFI S.A.,1.76,23.25,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
11,BCO BARIGUI INV FIN S/A,1.76,23.28,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
12,BCO DO EST. DO PA S.A.,1.79,23.66,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
13,BCO DO BRASIL S.A.,1.85,24.55,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
14,KIRTON BANK,1.87,24.89,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
15,BANCOOB,1.9,25.32,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
16,BCO MERCANTIL DO BRASIL S.A.,1.91,25.47,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
17,ITAÚ UNIBANCO BM S.A.,1.91,25.49,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
18,BCO CETELEM S.A.,1.93,25.76,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
19,SANTINVEST S.A. - CFI,1.94,25.92,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
20,PARANA BCO S.A.,1.96,26.25,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
21,BCO CRUZEIRO DO SUL S.A.,1.97,26.35,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
22,BCO BRADESCO S.A.,2.02,27.15,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
23,BCO ARBI S.A.,2.06,27.73,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
24,BANCO ORIGINAL,2.09,28.17,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
25,BCO BRADESCO FINANC. S.A.,2.11,28.5,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
26,BIORC FINANCEIRA - CFI S.A.,2.21,30.06,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
27,BCO BMG S.A.,2.22,30.08,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
28,BCV,2.22,30.13,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
29,BCO CCB BRASIL S.A.,2.22,30.17,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
30,BCO VOTORANTIM S.A.,2.23,30.26,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
31,BCO DO EST. DE SE S.A.,2.28,31.11,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
32,BANCO INTER,2.32,31.61,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
33,BV FINANCEIRA S.A. CFI,2.35,32.07,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
34,BCO DAYCOVAL S.A,2.37,32.45,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
35,CCB BRASIL S.A. - CFI,2.38,32.62,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
36,BCO LUSO BRASILEIRO S.A.,2.4,32.96,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
37,BCO INDUSTRIAL DO BRASIL S.A.,2.41,33.13,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
38,BCO BS2 S.A.,2.45,33.73,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
39,BCO FICSA S.A.,2.49,34.27,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
40,BANIF BRASIL BM S.A.,3.39,49.12,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
41,SOCINAL S.A. CFI,4.02,60.47,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
42,PORTOCRED S.A. - CFI,6.94,123.83,220,2012-06-08,08/06/2012 a 14/06/2012,Crédito pessoal consignado público,Pré-fixado
