posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.29,16.59,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.41,18.29,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.41,18.35,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO BANESTES S.A.,1.5,19.62,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO DO ESTADO DO RS S.A.,1.5,19.62,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
6,BCO SAFRA S.A.,1.51,19.73,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,1.53,20.04,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO SANTANDER (BRASIL) S.A.,1.56,20.41,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO MERCANTIL DO BRASIL S.A.,1.57,20.5,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO DO BRASIL S.A.,1.71,22.56,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
11,KIRTON BANK,1.74,22.93,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
12,SANTINVEST S.A. - CFI,1.74,23.06,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
13,BCO BARIGUI INV FIN S/A,1.75,23.09,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
14,PARANA BCO S.A.,1.75,23.18,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
15,BIORC FINANCEIRA - CFI S.A.,1.76,23.3,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
16,BCO ARBI S.A.,1.77,23.44,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
17,BRB - BCO DE BRASILIA S.A.,1.77,23.47,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
18,SENFF S.A. - CFI,1.78,23.52,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO DO EST. DO PA S.A.,1.79,23.72,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
20,ITAÚ UNIBANCO BM S.A.,1.82,24.09,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO FIBRA S.A.,1.83,24.23,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO CETELEM S.A.,1.83,24.34,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
23,BANCOOB,1.83,24.37,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
24,BCO DAYCOVAL S.A,1.85,24.53,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
25,BCO BRADESCO S.A.,1.85,24.54,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
26,BCO BRADESCO FINANC. S.A.,1.9,25.28,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
27,BANCO INTER,1.91,25.53,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
28,BCO LUSO BRASILEIRO S.A.,1.95,26.11,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO CCB BRASIL S.A.,2.05,27.53,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
30,BCO VOTORANTIM S.A.,2.08,27.95,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
31,BCO INDUSTRIAL DO BRASIL S.A.,2.09,28.16,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO BMG S.A.,2.14,29.0,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
33,BANCO CIFRA,2.16,29.24,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
34,BCO DO EST. DE SE S.A.,2.17,29.33,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
35,BCO BS2 S.A.,2.18,29.52,220,2013-02-22,22/02/2013 a 28/02/2013,Crédito pessoal consignado público,Pré-fixado
