posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.3,16.74,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
2,BRB - CFI S/A,1.32,17.02,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.5,19.53,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO BANESTES S.A.,1.5,19.55,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
5,MERCANTIL BRASIL FIN S.A. CFI,1.5,19.61,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.51,19.66,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
7,BCO SAFRA S.A.,1.51,19.73,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
8,FINANC ALFA S.A. CFI,1.56,20.48,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO MERCANTIL DO BRASIL S.A.,1.6,20.95,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO BRADESCO S.A.,1.6,20.95,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO SANTANDER (BRASIL) S.A.,1.63,21.35,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO ARBI S.A.,1.64,21.49,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
13,SANTINVEST S.A. - CFI,1.66,21.8,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO DO BRASIL S.A.,1.67,22.01,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO BARIGUI INV FIN S/A,1.72,22.68,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
16,BRB - BCO DE BRASILIA S.A.,1.73,22.79,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
17,BIORC FINANCEIRA - CFI S.A.,1.74,23.05,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
18,SENFF S.A. - CFI,1.74,23.06,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO CETELEM S.A.,1.76,23.33,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
20,BANCOOB,1.77,23.46,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO FIBRA S.A.,1.78,23.54,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
22,BANCO INTER,1.79,23.69,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
23,BCO DO EST. DO PA S.A.,1.8,23.83,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
24,BCO BRADESCO FINANC. S.A.,1.81,23.97,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
25,ITAÚ UNIBANCO BM S.A.,1.82,24.14,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
26,KIRTON BANK,1.83,24.37,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
27,BANCO CIFRA,1.87,24.92,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
28,BCO DAYCOVAL S.A,2.0,26.82,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO VOTORANTIM S.A.,2.02,27.09,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
30,BCO LUSO BRASILEIRO S.A.,2.1,28.33,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
31,BANCO ITAÚ CONSIGNADO S.A.,2.14,28.93,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
32,BV FINANCEIRA S.A. CFI,2.17,29.38,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
33,BCO CCB BRASIL S.A.,2.18,29.56,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
34,BCO INDUSTRIAL DO BRASIL S.A.,2.38,32.57,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
35,ESTRELA MINEIRA,2.64,36.77,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
36,PORTOCRED S.A. - CFI,6.07,102.83,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
37,FACTA S.A. CFI,6.49,112.65,220,2013-06-24,24/06/2013 a 28/06/2013,Crédito pessoal consignado público,Pré-fixado
