posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.3,16.71,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.42,18.4,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.43,18.59,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO DO ESTADO DO RS S.A.,1.46,18.97,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO SAFRA S.A.,1.51,19.67,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
6,BCO BANESTES S.A.,1.53,20.03,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
7,CAIXA ECONOMICA FEDERAL,1.54,20.15,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO MERCANTIL DO BRASIL S.A.,1.56,20.37,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.56,20.41,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
10,SANTINVEST S.A. - CFI,1.71,22.61,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO DO BRASIL S.A.,1.72,22.68,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO BARIGUI INV FIN S/A,1.74,22.96,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
13,KIRTON BANK,1.76,23.35,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
14,PARANA BCO S.A.,1.77,23.45,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO DO EST. DO PA S.A.,1.8,23.84,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
16,BRB - BCO DE BRASILIA S.A.,1.81,23.96,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
17,BCO FIBRA S.A.,1.81,24.03,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
18,BCO CETELEM S.A.,1.81,24.08,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO ARBI S.A.,1.84,24.48,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
20,BIORC FINANCEIRA - CFI S.A.,1.86,24.75,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
21,BANCO INTER,1.87,24.94,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO BRADESCO S.A.,1.89,25.16,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
23,BANCOOB,1.91,25.47,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
24,BCO DAYCOVAL S.A,1.91,25.54,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
25,BCO BRADESCO FINANC. S.A.,1.92,25.69,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
26,ITAÚ UNIBANCO BM S.A.,1.94,25.96,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
27,BCO VOTORANTIM S.A.,1.97,26.39,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
28,BCO LUSO BRASILEIRO S.A.,1.97,26.4,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO DO EST. DE SE S.A.,2.05,27.52,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
30,BANCO CIFRA,2.11,28.44,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
31,BCO BMG S.A.,2.11,28.5,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO CCB BRASIL S.A.,2.12,28.61,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
33,BV FINANCEIRA S.A. CFI,2.2,29.77,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
34,BCO BS2 S.A.,2.2,29.9,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
35,BCO INDUSTRIAL DO BRASIL S.A.,2.27,30.93,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
36,ESTRELA MINEIRA,2.64,36.78,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
37,PORTOCRED S.A. - CFI,7.08,127.16,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
38,FACTA S.A. CFI,7.27,132.18,220,2013-02-07,07/02/2013 a 15/02/2013,Crédito pessoal consignado público,Pré-fixado
