posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO DO ESTADO DO RS S.A.,1.3,16.81,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.45,18.8,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.46,18.97,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
4,BRB - CFI S/A,1.57,20.56,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
5,BCO BANESTES S.A.,1.6,20.92,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.66,21.86,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
7,BCO SAFRA S.A.,1.78,23.65,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
8,BCO DO EST. DO PA S.A.,1.8,23.82,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
9,BCO BARIGUI INV FIN S/A,1.8,23.89,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
10,BCO SANTANDER (BRASIL) S.A.,1.82,24.16,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
11,BANCOOB,1.82,24.21,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
12,BRB - BCO DE BRASILIA S.A.,1.88,25.01,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
13,BCO DO BRASIL S.A.,1.92,25.61,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
14,BCO FIBRA S.A.,1.95,26.08,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
15,SANTINVEST S.A. - CFI,1.95,26.13,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
16,BIORC FINANCEIRA - CFI S.A.,1.97,26.36,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
17,ITAÚ UNIBANCO BM S.A.,1.97,26.4,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
18,BCO CETELEM S.A.,2.0,26.87,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
19,KIRTON BANK,2.02,27.12,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
20,BCO LUSO BRASILEIRO S.A.,2.03,27.31,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
21,PARANA BCO S.A.,2.04,27.38,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
22,BANCO ORIGINAL,2.08,28.02,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
23,BCO ARBI S.A.,2.1,28.28,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
24,LECCA CFI S.A.,2.13,28.74,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
25,BCO BRADESCO S.A.,2.15,29.05,220,2012-04-18,18/04/2012 a 24/04/2012,Crédito pessoal consignado público,Pré-fixado
