posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.35,17.46,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.39,17.96,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.41,18.31,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO SAFRA S.A.,1.5,19.56,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO DO ESTADO DO RS S.A.,1.51,19.68,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.52,19.8,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
7,BCO BANESTES S.A.,1.53,20.03,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
8,SANTINVEST S.A. - CFI,1.59,20.86,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO BRADESCO S.A.,1.6,20.91,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
10,BCO SANTANDER (BRASIL) S.A.,1.62,21.33,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO DO BRASIL S.A.,1.67,22.03,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
12,BCO BARIGUI INV FIN S/A,1.68,22.16,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
13,KIRTON BANK,1.71,22.58,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
14,BRB - BCO DE BRASILIA S.A.,1.73,22.89,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO ARBI S.A.,1.75,23.18,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
16,BCO DO EST. DO PA S.A.,1.79,23.75,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
17,BANCOOB,1.8,23.93,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
18,BCO BRADESCO FINANC. S.A.,1.81,24.01,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO MERCANTIL DO BRASIL S.A.,1.81,24.05,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
20,BCO CETELEM S.A.,1.82,24.11,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
21,BCO FIBRA S.A.,1.82,24.21,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
22,BANCO INTER,1.85,24.58,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
23,BCO LUSO BRASILEIRO S.A.,1.91,25.45,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
24,ITAÚ UNIBANCO BM S.A.,1.93,25.79,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
25,BIORC FINANCEIRA - CFI S.A.,1.95,26.13,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
26,BV FINANCEIRA S.A. CFI,2.01,26.91,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
27,BCO VOTORANTIM S.A.,2.01,26.96,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
28,BCO DAYCOVAL S.A,2.04,27.46,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
29,BCO BMG S.A.,2.05,27.58,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
30,BCO CCB BRASIL S.A.,2.11,28.45,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
31,BCO INDUSTRIAL DO BRASIL S.A.,2.15,29.15,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO BS2 S.A.,2.23,30.28,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
33,BCO DO EST. DE SE S.A.,2.23,30.37,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
34,BANCO ITAÚ CONSIGNADO S.A.,2.25,30.6,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
35,PARATI - CFI S.A.,2.42,33.31,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
36,ESTRELA MINEIRA,2.65,36.92,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
37,PORTOCRED S.A. - CFI,6.11,103.74,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
38,FACTA S.A. CFI,6.29,107.89,220,2013-05-21,21/05/2013 a 27/05/2013,Crédito pessoal consignado público,Pré-fixado
