posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO ALFA S.A.,1.45,18.89,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.5,19.56,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
3,CAIXA ECONOMICA FEDERAL,1.52,19.79,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO BANESTES S.A.,1.54,20.19,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO SANTANDER (BRASIL) S.A.,1.6,20.98,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
6,BCO DO BRASIL S.A.,1.62,21.19,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
7,SANTINVEST S.A. - CFI,1.67,21.94,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO DO ESTADO DO RS S.A.,1.67,21.96,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO ARBI S.A.,1.69,22.22,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
10,KIRTON BANK,1.7,22.35,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO BRADESCO S.A.,1.7,22.41,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
12,BRB - CFI S/A,1.73,22.87,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
13,BANCOOB,1.74,22.97,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
14,BCO SAFRA S.A.,1.76,23.24,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO BARIGUI INV FIN S/A,1.76,23.27,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
16,PARANA BCO S.A.,1.77,23.37,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
17,MERCANTIL BRASIL FIN S.A. CFI,1.8,23.91,220,2013-12-05,05/12/2013 a 11/12/2013,Crédito pessoal consignado público,Pré-fixado
