posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BANCOOB,1.62,21.19,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
2,BCO ALFA S.A.,1.72,22.68,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
3,FINANC ALFA S.A. CFI,1.79,23.71,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
4,BRB - CFI S/A,1.82,24.12,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
5,BCO SAFRA S.A.,1.83,24.25,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
6,BCO BANESTES S.A.,1.89,25.13,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
7,KIRTON BANK,1.92,25.61,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
8,CAIXA ECONOMICA FEDERAL,1.92,25.69,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
9,BCO BRADESCO S.A.,1.93,25.74,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
10,BCO SANTANDER (BRASIL) S.A.,1.94,25.92,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
11,PARANA BCO S.A.,1.97,26.44,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
12,BCO ARBI S.A.,1.98,26.48,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
13,BCO VOTORANTIM S.A.,1.99,26.64,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
14,BCO BARIGUI INV FIN S/A,2.0,26.77,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
15,BCO DO BRASIL S.A.,2.04,27.42,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
16,BRB - BCO DE BRASILIA S.A.,2.04,27.45,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
17,BANCO ITAÚ CONSIGNADO S.A.,2.09,28.15,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
18,BANCO PAN,2.1,28.3,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
19,BCO BMG S.A.,2.14,28.98,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
20,BCO CCB BRASIL S.A.,2.16,29.21,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
21,BCO DO ESTADO DO RS S.A.,2.16,29.22,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
22,BCO BS2 S.A.,2.17,29.34,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
23,BCO BRADESCO FINANC. S.A.,2.21,30.03,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
24,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,2.23,30.34,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
25,SANTINVEST S.A. - CFI,2.23,30.36,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
26,BCO DO EST. DO PA S.A.,2.25,30.66,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
27,BCO DO EST. DE SE S.A.,2.27,30.94,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
28,BCO MERCANTIL DO BRASIL S.A.,2.29,31.14,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
29,BCO CETELEM S.A.,2.29,31.29,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
30,BANCO INTER,2.33,31.8,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
31,BCO DAYCOVAL S.A,2.37,32.51,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
32,BCO INDUSTRIAL DO BRASIL S.A.,2.6,36.13,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
33,ITAÚ UNIBANCO BM S.A.,2.61,36.18,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
34,BCO LUSO BRASILEIRO S.A.,2.7,37.6,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
35,CCB BRASIL S.A. - CFI,2.72,38.02,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
36,SOCINAL S.A. CFI,3.6,52.92,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
37,PORTOCRED S.A. - CFI,5.38,87.58,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
38,FACTA S.A. CFI,6.81,120.48,220,2016-08-03,03/08/2016 a 09/08/2016,Crédito pessoal consignado público,Pré-fixado
