posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BRB - CFI S/A,1.28,16.42,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.4,18.22,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
3,BCO ALFA S.A.,1.41,18.29,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
4,BCO MERCANTIL DO BRASIL S.A.,1.51,19.66,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
5,BCO SAFRA S.A.,1.51,19.75,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
6,CAIXA ECONOMICA FEDERAL,1.52,19.77,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
7,BCO DO ESTADO DO RS S.A.,1.55,20.23,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
8,BCO BANESTES S.A.,1.56,20.35,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
9,BCO SANTANDER (BRASIL) S.A.,1.6,21.04,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
10,SANTINVEST S.A. - CFI,1.71,22.53,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
11,BCO DO BRASIL S.A.,1.72,22.66,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
12,BRB - BCO DE BRASILIA S.A.,1.73,22.79,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
13,BCO BARIGUI INV FIN S/A,1.73,22.86,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
14,KIRTON BANK,1.76,23.26,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
15,BCO ARBI S.A.,1.76,23.27,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
16,PARANA BCO S.A.,1.76,23.35,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
17,SENFF S.A. - CFI,1.78,23.57,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
18,BCO BRADESCO S.A.,1.78,23.57,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
19,BCO DO EST. DO PA S.A.,1.79,23.72,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
20,BCO CETELEM S.A.,1.8,23.88,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
21,BANCOOB,1.8,23.92,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
22,BCO BRADESCO FINANC. S.A.,1.81,24.04,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
23,BCO FIBRA S.A.,1.82,24.11,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
24,ITAÚ UNIBANCO BM S.A.,1.85,24.55,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
25,BCO DAYCOVAL S.A,1.89,25.12,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
26,BANCO INTER,1.89,25.15,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
27,BCO VOTORANTIM S.A.,1.95,26.05,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
28,BCO LUSO BRASILEIRO S.A.,1.99,26.74,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
29,BIORC FINANCEIRA - CFI S.A.,2.0,26.88,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
30,BCO CCB BRASIL S.A.,2.04,27.4,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
31,BCO INDUSTRIAL DO BRASIL S.A.,2.08,28.04,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
32,BCO BMG S.A.,2.08,28.08,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
33,BV FINANCEIRA S.A. CFI,2.14,28.88,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
34,BCO DO EST. DE SE S.A.,2.16,29.2,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
35,BANCO CIFRA,2.18,29.47,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
36,BCO BS2 S.A.,2.24,30.45,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
37,BANCO ITAÚ CONSIGNADO S.A.,2.27,30.85,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
38,ESTRELA MINEIRA,2.64,36.78,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
39,PORTOCRED S.A. - CFI,6.19,105.62,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
40,FACTA S.A. CFI,7.36,134.46,220,2013-04-10,10/04/2013 a 16/04/2013,Crédito pessoal consignado público,Pré-fixado
