posicao,instituicao,taxa_am,taxa_aa,codigo_modalidade,periodo_inicial,periodo_semana,modalidade,tipo_encargo
1,BCO ALFA S.A.,1.65,21.66,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
2,FINANC ALFA S.A. CFI,1.68,22.1,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
3,BCO BANESTES S.A.,1.77,23.39,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
4,CAIXA ECONOMICA FEDERAL,1.79,23.71,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
5,BANCOOB,1.79,23.76,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
6,MERCANTIL BRASIL FIN S.A. CFI,1.82,24.12,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
7,BRB - CFI S/A,1.82,24.21,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
8,BCO BRADESCO S.A.,1.83,24.31,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
9,BCO SAFRA S.A.,1.83,24.35,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
10,BCO BARIGUI INV FIN S/A,1.86,24.8,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
11,PARANA BCO S.A.,1.87,24.92,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
12,BCO ARBI S.A.,1.87,24.93,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
13,BCO SANTANDER (BRASIL) S.A.,1.9,25.28,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
14,KIRTON BANK,1.9,25.36,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
15,BCO MERCANTIL DO BRASIL S.A.,1.91,25.46,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
16,SANTINVEST S.A. - CFI,1.97,26.36,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
17,BCO BMG S.A.,1.97,26.44,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
18,BRB - BCO DE BRASILIA S.A.,1.99,26.62,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
19,BCO DO BRASIL S.A.,1.99,26.72,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
20,BCO CCB BRASIL S.A.,2.07,27.8,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
21,BCO OLÉ BONSUCESSO CONSIGNADO S.A.,2.07,27.89,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
22,BANCO PAN,2.08,28.01,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
23,BCO BRADESCO FINANC. S.A.,2.11,28.42,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
24,BANCO ITAÚ CONSIGNADO S.A.,2.11,28.54,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
25,BV FINANCEIRA S.A. CFI,2.12,28.67,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
26,BCO DO ESTADO DO RS S.A.,2.14,28.86,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
27,BCO CETELEM S.A.,2.14,28.98,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
28,BCO VOTORANTIM S.A.,2.16,29.17,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
29,BCO BS2 S.A.,2.17,29.34,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
30,BANCO INTER,2.17,29.43,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
31,BCO DO EST. DO PA S.A.,2.22,30.2,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
32,BCO DO EST. DE SE S.A.,2.32,31.66,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
33,ITAÚ UNIBANCO BM S.A.,2.38,32.61,220,2015-08-07,07/08/2015 a 13/08/2015,Crédito pessoal consignado público,Pré-fixado
